consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_TL,EUR,FR	0.0613 	0.0566 	0.0495 	: 	: 	: 	: 	: 
4161901,DP_TL,EUR,HR	0.0464 	0.0455 	0.0469 	0.0368 	0.0350 	0.0370 	0.0362 	0.0342 
4161901,DP_TL,EUR,HU	0.0282 	0.0345 	0.0431 	: 	0.0368 	0.0373 	0.0278 	0.0374 
4161901,DP_TL,EUR,IE	0.1730 	0.1401 	0.1130 	0.1321 	: 	: 	: 	: 
4161901,DP_TL,EUR,IS	0.0667 	0.0649 	0.0435 	: 	: 	: 	: 	: 
4161901,DP_TL,EUR,IT	0.0858 	0.0768 	0.0746 	0.0576 	0.0569 	0.0521 	0.0487 	: 
4161901,DP_TL,EUR,LI	0.0140 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,EUR,LT	0.0442 	0.0521 	0.0228 	0.0236 	0.0219 	0.0169 	0.0141 	0.0166 
4161901,DP_TL,EUR,LU	0.0342 	0.0251 	0.0270 	0.0264 	0.0350 	0.0277 	0.0274 	0.0251 
4161901,DP_TL,EUR,LV	0.0414 	0.0471 	0.0382 	0.0211 	0.0096 	0.0096 	0.0048 	0.0034 
4161901,DP_TL,EUR,ME	0.0395 	0.0402 	0.0320 	0.0146 	: 	: 	: 	: 
4161901,DP_TL,EUR,MT	0.0175 	0.0210 	0.0220 	0.0220 	0.0208 	0.0114 	0.0064 	0.0000 
4161901,DP_TL,EUR,NL	: 	: 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
4161901,DP_TL,EUR,NO	0.0965 	0.1011 	0.1061 	0.1050 	0.1030 	0.0886 	0.0892 	0.0858 
4161901,DP_TL,EUR,PL	0.0383 	0.0388 	0.0400 	0.0380 	0.0372 	0.0335 	0.0370 	0.0344 
4161901,DP_TL,EUR,PT	0.1748 	0.1703 	0.1346 	0.1816 	0.1269 	0.0385 	0.0581 	: 
4161901,DP_TL,EUR,RO	0.0352 	0.0392 	0.0331 	0.0266 	0.0212 	0.0161 	0.0181 	0.0179 
4161901,DP_TL,EUR,RS	0.0348 	0.0328 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,EUR,SE	0.1012 	0.1017 	0.1044 	0.0974 	0.0951 	0.0808 	0.0856 	0.0858 
4161901,DP_TL,EUR,SI	0.0740 	0.0944 	0.0594 	0.0611 	0.0862 	0.0792 	0.0409 	: 
4161901,DP_TL,EUR,SK	0.0440 	0.0468 	0.0469 	0.0440 	0.0379 	0.0373 	0.0409 	0.0355 
4161901,DP_TL,EUR,TR	0.0272 	0.0262 	0.0303 	0.0226 	0.0281 	0.0242 	0.0252 	: 
4161901,DP_TL,EUR,UK	0.0119 	0.0105 	0.0095 	0.0086 	: 	0.0079 	0.0086 	: 
4161901,DP_TL,EUR,XK	0.0229 	0.0184 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,AT	0.1094 	0.1029 	0.0938 	0.0868 	0.0852 	0.0852 	0.0838 	: 
4161901,DP_TL,NAT,BA	: 	0.0604 	0.0555 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,BE	0.0352 	0.0703 	0.0712 	0.0680 	0.0676 	0.0646 	0.0783 	0.0570 
4161901,DP_TL,NAT,BG	0.0298 	0.0287 	0.0312 	0.0277 	0.0275 	0.0270 	0.0270 	0.0241 
4161901,DP_TL,NAT,CY	0.0511 	0.0489 	0.0535 	0.0410 	0.0360 	: 	: 	: 
4161901,DP_TL,NAT,CZ	1.3900 	1.4700 	1.3700 	1.3000 	1.2500 	1.1800 	1.1000 	1.0200 
4161901,DP_TL,NAT,DE	0.1760 	0.1664 	0.1482 	0.1367 	0.1197 	0.1154 	0.1072 	0.1034 
4161901,DP_TL,NAT,DK	1.3266 	1.2998 	1.2945 	1.2819 	1.1697 	1.1086 	1.1327 	1.0647 
4161901,DP_TL,NAT,EE	0.0351 	0.0367 	0.0334 	0.0284 	0.4600 	0.3577 	0.2880 	0.2200 
4161901,DP_TL,NAT,EL	0.0597 	0.0524 	0.0350 	0.0208 	0.0176 	0.0096 	: 	: 
4161901,DP_TL,NAT,ES	0.0997 	0.0860 	0.0796 	0.0732 	0.0653 	0.0573 	0.0575 	: 
4161901,DP_TL,NAT,FI	0.0769 	0.0747 	0.0716 	0.0705 	0.0572 	0.0533 	0.0497 	0.0442 
4161901,DP_TL,NAT,FR	0.0613 	0.0566 	0.0495 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,HR	0.3549 	0.3452 	0.3516 	0.2750 	0.2560 	0.2700 	0.2600 	0.2500 
4161901,DP_TL,NAT,HU	8.7597 	10.2598 	12.1953 	: 	10.2600 	10.1036 	6.9485 	9.4370 
4161901,DP_TL,NAT,IE	0.1730 	0.1401 	0.1130 	0.1321 	: 	: 	: 	: 
4161901,DP_TL,NAT,IS	10.2900 	10.5000 	6.8911 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,IT	0.0858 	0.0768 	0.0746 	0.0576 	0.0569 	0.0521 	0.0487 	: 
4161901,DP_TL,NAT,LI	0.0169 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,LT	0.1526 	0.1798 	0.0786 	0.0815 	0.0757 	0.0585 	0.0487 	0.0574 
4161901,DP_TL,NAT,LU	0.0342 	0.0251 	0.0270 	0.0264 	0.0350 	0.0277 	0.0274 	0.0251 
4161901,DP_TL,NAT,LV	0.0414 	0.0331 	0.0266 	0.0149 	0.0068 	0.0068 	0.0034 	0.0024 
4161901,DP_TL,NAT,ME	0.0395 	0.0402 	0.0320 	0.0146 	: 	: 	: 	: 
4161901,DP_TL,NAT,MT	0.0175 	0.0210 	0.0220 	0.0220 	0.0208 	0.0114 	0.0064 	0.0000 
4161901,DP_TL,NAT,NL	: 	: 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
4161901,DP_TL,NAT,NO	0.8135 	0.8172 	0.7827 	0.8150 	0.8244 	0.7589 	0.7583 	0.6775 
4161901,DP_TL,NAT,PL	0.1607 	0.1636 	0.1650 	0.1629 	0.1484 	0.1402 	0.1307 	0.1280 
4161901,DP_TL,NAT,PT	0.1748 	0.1703 	0.1346 	0.1816 	0.1269 	0.0385 	0.0581 	: 
4161901,DP_TL,NAT,RO	0.1559 	0.1742 	0.1500 	0.1142 	0.0904 	0.0685 	0.0670 	0.0599 
4161901,DP_TL,NAT,RS	4.1300 	3.7427 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,NAT,SE	0.9350 	0.8914 	0.8905 	0.8879 	0.8840 	0.8390 	0.8430 	0.7958 
4161901,DP_TL,NAT,SI	0.0740 	0.0944 	0.0594 	0.0611 	0.0862 	0.0792 	0.0409 	: 
4161901,DP_TL,NAT,SK	0.0440 	0.0468 	0.0469 	0.0440 	0.0379 	0.0373 	1.2400 	1.1900 
4161901,DP_TL,NAT,TR	0.0775 	0.0703 	0.0695 	0.0556 	0.0555 	0.0527 	0.0486 	: 
4161901,DP_TL,NAT,UK	0.0094 	0.0089 	0.0076 	0.0075 	: 	0.0070 	0.0070 	: 
4161901,DP_TL,NAT,XK	0.0229 	0.0184 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,PPS,AT	0.0990 	0.0921 	0.0851 	0.0784 	0.0773 	0.0759 	0.0768 	: 
4161901,DP_TL,PPS,BA	: 	0.0633 	0.0588 	: 	: 	: 	: 	: 
4161901,DP_TL,PPS,BE	0.0317 	0.0624 	0.0643 	0.0613 	0.0610 	0.0566 	0.0700 	0.0522 
4161901,DP_TL,PPS,BG	0.0323 	0.0309 	0.0339 	0.0299 	0.0317 	0.0309 	0.0323 	0.0307 
4161901,DP_TL,PPS,CY	0.0581 	0.0548 	0.0589 	0.0446 	0.0406 	: 	: 	: 
4161901,DP_TL,PPS,CZ	0.0787 	0.0829 	0.0776 	0.0732 	0.0684 	0.0639 	0.0603 	0.0594 
4161901,DP_TL,PPS,DE	0.1689 	0.1583 	0.1434 	0.1315 	0.1147 	0.1073 	0.1032 	0.1010 
4161901,DP_TL,PPS,DK	0.1321 	0.1279 	0.1285 	0.1273 	0.1151 	0.1065 	0.1104 	0.1049 
4161901,DP_TL,PPS,EE	0.0470 	0.0503 	0.0471 	0.0409 	0.0434 	0.0326 	0.0259 	0.0207 
4161901,DP_TL,PPS,EL	0.0720 	0.0614 	0.0391 	0.0224 	0.0191 	0.0104 	: 	: 
4161901,DP_TL,PPS,ES	0.1115 	0.0955 	0.0879 	0.0785 	0.0695 	0.0608 	0.0624 	: 
4161901,DP_TL,PPS,FI	0.0618 	0.0606 	0.0593 	0.0586 	0.0479 	0.0444 	0.0423 	0.0381 
4161901,DP_TL,PPS,FR	0.0558 	0.0500 	0.0441 	: 	: 	: 	: 	: 
4161901,DP_TL,PPS,HR	0.0734 	0.0717 	0.0729 	0.0549 	0.0499 	0.0527 	0.0530 	0.0528 
4161901,DP_TL,PPS,HU	0.0501 	0.0599 	0.0704 	: 	0.0624 	0.0605 	0.0419 	0.0583 
4161901,DP_TL,PPS,IE	0.1554 	0.1271 	0.1031 	0.1198 	: 	: 	: 	: 
4161901,DP_TL,PPS,IS	0.0554 	0.0574 	0.0383 	: 	: 	: 	: 	: 
4161901,DP_TL,PPS,IT	0.0855 	0.0761 	0.0743 	0.0565 	0.0557 	0.0503 	0.0482 	: 
4161901,DP_TL,PPS,LT	0.0721 	0.0849 	0.0378 	0.0391 	0.0371 	0.0273 	0.0224 	0.0289 
4161901,DP_TL,PPS,LU	0.0287 	0.0207 	0.0229 	0.0223 	0.0290 	0.0230 	0.0236 	0.0220 
4161901,DP_TL,PPS,LV	0.0604 	0.0681 	0.0554 	0.0315 	0.0147 	0.0141 	0.0067 	0.0051 
4161901,DP_TL,PPS,ME	0.0769 	0.0801 	0.0652 	0.0297 	: 	: 	: 	: 
4161901,DP_TL,PPS,MT	0.0218 	0.0269 	0.0287 	0.0291 	0.0285 	0.0157 	0.0089 	0.0000 
4161901,DP_TL,PPS,NL	: 	: 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
4161901,DP_TL,PPS,NO	0.0650 	0.0671 	0.0667 	0.0684 	0.0698 	0.0637 	0.0677 	0.0626 
4161901,DP_TL,PPS,PL	0.0664 	0.0678 	0.0684 	0.0673 	0.0622 	0.0566 	0.0550 	0.0564 
4161901,DP_TL,PPS,PT	0.2247 	0.2184 	0.1689 	0.2212 	0.1532 	0.0457 	0.0699 	: 
4161901,DP_TL,PPS,RO	0.0682 	0.0790 	0.0706 	0.0541 	0.0434 	0.0325 	0.0328 	0.0321 
4161901,DP_TL,PPS,RS	0.0726 	0.0680 	: 	: 	: 	: 	: 	: 
4161901,DP_TL,PPS,SE	0.0789 	0.0764 	0.0768 	0.0757 	0.0750 	0.0708 	0.0751 	0.0727 
4161901,DP_TL,PPS,SI	0.0926 	0.1172 	0.0734 	0.0731 	0.1026 	0.0924 	0.0504 	: 
4161901,DP_TL,PPS,SK	0.0660 	0.0689 	0.0687 	0.0640 	0.0567 	0.0549 	0.0580 	0.0524 
4161901,DP_TL,PPS,TR	0.0488 	0.0477 	0.0502 	0.0423 	0.0450 	0.0435 	0.0427 	: 
4161901,DP_TL,PPS,UK	0.0100 	0.0096 	0.0083 	0.0081 	: 	0.0080 	0.0084 	: 
4161902,DP_ES,EUR,AT	0.0784 	0.0829 	0.0832 	0.0867 	0.0747 	0.0747 	0.0705 	: 
4161902,DP_ES,EUR,BA	: 	0.0368 	0.0363 	: 	: 	: 	: 	: 
4161902,DP_ES,EUR,BE	0.0780 	0.0825 	0.0902 	0.0906 	0.0867 	0.0835 	0.1173 	0.0818 
4161902,DP_ES,EUR,BG	0.0567 	0.0433 	0.0480 	0.0419 	0.0477 	0.0435 	0.0399 	0.0342 
4161902,DP_ES,EUR,CY	0.1527 	0.1644 	0.2028 	0.1665 	0.1324 	: 	: 	: 
4161902,DP_ES,EUR,CZ	0.0485 	0.0606 	0.0657 	0.0624 	0.0644 	0.0866 	0.0789 	0.0624 
4161902,DP_ES,EUR,DE	0.0920 	0.0976 	0.0958 	0.0908 	0.0993 	0.0904 	0.0903 	0.0747 
4161902,DP_ES,EUR,DK	0.0499 	0.0520 	0.0565 	0.0712 	0.0636 	0.0501 	0.0834 	0.0439 
4161902,DP_ES,EUR,EE	0.0474 	0.0484 	0.0498 	0.0321 	0.0320 	0.0329 	0.0313 	0.0284 
4161902,DP_ES,EUR,EL	0.0921 	0.0853 	0.0661 	0.0629 	0.0558 	0.0543 	: 	: 
4161902,DP_ES,EUR,ES	0.1587 	0.1589 	0.0910 	0.1028 	0.0941 	0.1100 	0.1032 	: 
4161902,DP_ES,EUR,FI	0.0651 	0.0686 	0.0683 	0.0722 	0.0647 	0.0601 	0.0594 	0.0522 
4161902,DP_ES,EUR,FR	0.0740 	0.0640 	0.0606 	: 	: 	: 	: 	: 
4161902,DP_ES,EUR,HR	0.0629 	0.0673 	0.0706 	0.0578 	0.0487 	0.0493 	0.0627 	0.0451 
4161902,DP_ES,EUR,HU	0.0474 	0.0585 	0.0725 	: 	0.0757 	0.0826 	0.0753 	0.0599 
4161902,DP_ES,EUR,IE	0.1618 	0.1512 	0.1488 	0.1291 	: 	: 	: 	: 
4161902,DP_ES,EUR,IS	0.0333 	0.0305 	0.0307 	: 	: 	: 	: 	: 
4161902,DP_ES,EUR,IT	0.1059 	0.1087 	0.1142 	0.0988 	0.0951 	0.1078 	0.1112 	: 
4161902,DP_ES,EUR,LI	0.0728 	: 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,EUR,LT	0.0503 	0.0481 	0.0491 	0.0487 	0.0462 	0.0375 	0.0371 	0.0311 
4161902,DP_ES,EUR,LU	0.0757 	0.0753 	0.0825 	0.0799 	0.0790 	0.1006 	0.0758 	0.0744 
4161902,DP_ES,EUR,LV	0.0166 	0.0171 	0.0260 	0.0422 	0.0491 	0.0494 	0.0492 	0.0359 
4161902,DP_ES,EUR,ME	0.0483 	0.0464 	0.0455 	0.0346 	: 	: 	: 	: 
4161902,DP_ES,EUR,MT	0.1156 	0.1636 	0.1629 	0.1622 	0.1611 	0.1406 	0.1037 	0.0217 
4161902,DP_ES,EUR,NL	0.0840 	0.0839 	0.0858 	0.0842 	0.0847 	0.0970 	0.0900 	0.0858 
4161902,DP_ES,EUR,NO	0.0591 	0.0656 	0.0566 	0.0658 	0.0724 	0.0565 	0.0690 	0.0463 
4161902,DP_ES,EUR,PL	0.0557 	0.0587 	0.0634 	0.0575 	0.0588 	0.0517 	0.0487 	0.0369 
4161902,DP_ES,EUR,PT	0.0724 	0.0747 	0.0810 	0.0656 	0.0640 	0.0960 	0.0767 	: 
4161902,DP_ES,EUR,RO	0.0412 	0.0391 	0.0288 	0.0342 	0.0352 	0.0324 	0.0353 	0.0385 
4161902,DP_ES,EUR,RS	0.0209 	0.0163 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,EUR,SE	0.0498 	0.0591 	0.0631 	0.0673 	0.0697 	0.0567 	0.0657 	0.0522 
4161902,DP_ES,EUR,SI	0.0596 	0.0639 	0.0639 	0.0604 	0.0541 	0.0535 	0.0456 	: 
4161902,DP_ES,EUR,SK	0.0559 	0.0660 	0.0722 	0.0673 	0.0741 	0.0690 	0.0689 	0.0603 
4161902,DP_ES,EUR,TR	0.0743 	0.0760 	0.0837 	0.0631 	0.0898 	0.0785 	0.0828 	: 
4161902,DP_ES,EUR,UK	0.1655 	0.1474 	0.1480 	0.1280 	: 	0.1025 	0.1102 	: 
4161902,DP_ES,EUR,XK	0.0271 	0.0155 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,AT	0.0784 	0.0829 	0.0832 	0.0867 	0.0747 	0.0747 	0.0705 	: 
4161902,DP_ES,NAT,BA	: 	0.0721 	0.0711 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,BE	0.0780 	0.0825 	0.0902 	0.0906 	0.0867 	0.0835 	0.1173 	0.0818 
4161902,DP_ES,NAT,BG	0.1108 	0.0846 	0.0938 	0.0819 	0.0933 	0.0850 	0.0780 	0.0668 
4161902,DP_ES,NAT,CY	0.1527 	0.1644 	0.2028 	0.1665 	0.1324 	: 	: 	: 
4161902,DP_ES,NAT,CZ	1.3400 	1.5900 	1.6500 	1.5500 	1.6000 	2.2300 	1.9500 	1.7100 
4161902,DP_ES,NAT,DE	0.0920 	0.0976 	0.0958 	0.0908 	0.0993 	0.0904 	0.0903 	0.0747 
4161902,DP_ES,NAT,DK	0.3718 	0.3879 	0.4209 	0.5300 	0.4737 	0.3730 	0.6221 	0.3271 
4161902,DP_ES,NAT,EE	0.0474 	0.0484 	0.0498 	0.0321 	0.5000 	0.5140 	0.4900 	0.4450 
4161902,DP_ES,NAT,EL	0.0921 	0.0853 	0.0661 	0.0629 	0.0558 	0.0543 	: 	: 
4161902,DP_ES,NAT,ES	0.1587 	0.1589 	0.0910 	0.1028 	0.0941 	0.1100 	0.1032 	: 
4161902,DP_ES,NAT,FI	0.0651 	0.0686 	0.0683 	0.0722 	0.0647 	0.0601 	0.0594 	0.0522 
4161902,DP_ES,NAT,FR	0.0740 	0.0640 	0.0606 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,HR	0.4805 	0.5110 	0.5299 	0.4320 	0.3560 	0.3600 	0.4500 	0.3300 
4161902,DP_ES,NAT,HU	14.7044 	17.4048 	20.5424 	: 	21.1200 	22.3897 	18.8028 	15.1270 
4161902,DP_ES,NAT,IE	0.1618 	0.1512 	0.1488 	0.1291 	: 	: 	: 	: 
4161902,DP_ES,NAT,IS	5.1360 	4.9357 	4.8659 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,IT	0.1059 	0.1087 	0.1142 	0.0988 	0.0951 	0.1078 	0.1112 	: 
4161902,DP_ES,NAT,LI	0.0879 	: 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,LT	0.1737 	0.1662 	0.1696 	0.1681 	0.1596 	0.1294 	0.1280 	0.1073 
4161902,DP_ES,NAT,LU	0.0757 	0.0753 	0.0825 	0.0799 	0.0790 	0.1006 	0.0758 	0.0744 
4161902,DP_ES,NAT,LV	0.0166 	0.0120 	0.0181 	0.0298 	0.0348 	0.0348 	0.0348 	0.0251 
4161902,DP_ES,NAT,ME	0.0483 	0.0464 	0.0455 	0.0346 	: 	: 	: 	: 
4161902,DP_ES,NAT,MT	0.1156 	0.1636 	0.1629 	0.1622 	0.1611 	0.1406 	0.1037 	0.0093 
4161902,DP_ES,NAT,NL	0.0840 	0.0839 	0.0858 	0.0842 	0.0847 	0.0970 	0.0900 	0.0858 
4161902,DP_ES,NAT,NO	0.4985 	0.5302 	0.4179 	0.5110 	0.5797 	0.4836 	0.5864 	0.3656 
4161902,DP_ES,NAT,PL	0.2337 	0.2476 	0.2615 	0.2463 	0.2343 	0.2163 	0.1723 	0.1376 
4161902,DP_ES,NAT,PT	0.0724 	0.0747 	0.0810 	0.0656 	0.0640 	0.0960 	0.0767 	: 
4161902,DP_ES,NAT,RO	0.1823 	0.1740 	0.1303 	0.1470 	0.1503 	0.1375 	0.1305 	0.1285 
4161902,DP_ES,NAT,RS	2.4832 	1.8674 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,NAT,SE	0.4599 	0.5185 	0.5381 	0.6140 	0.6480 	0.5890 	0.6470 	0.4839 
4161902,DP_ES,NAT,SI	0.0596 	0.0639 	0.0639 	0.0604 	0.0541 	0.0535 	0.0456 	: 
4161902,DP_ES,NAT,SK	0.0559 	0.0660 	0.0722 	0.0673 	0.0741 	0.0690 	2.0900 	2.0200 
4161902,DP_ES,NAT,TR	0.2116 	0.2037 	0.1917 	0.1556 	0.1771 	0.1707 	0.1594 	: 
4161902,DP_ES,NAT,UK	0.1310 	0.1249 	0.1183 	0.1110 	: 	0.0910 	0.0900 	: 
4161902,DP_ES,NAT,XK	0.0271 	0.0155 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,PPS,AT	0.0709 	0.0742 	0.0755 	0.0783 	0.0678 	0.0666 	0.0646 	: 
4161902,DP_ES,PPS,BA	: 	0.0756 	0.0754 	: 	: 	: 	: 	: 
4161902,DP_ES,PPS,BE	0.0703 	0.0733 	0.0814 	0.0816 	0.0782 	0.0732 	0.1049 	0.0748 
4161902,DP_ES,PPS,BG	0.1201 	0.0910 	0.1020 	0.0885 	0.1076 	0.0972 	0.0933 	0.0852 
4161902,DP_ES,PPS,CY	0.1737 	0.1843 	0.2234 	0.1809 	0.1492 	: 	: 	: 
4161902,DP_ES,PPS,CZ	0.0759 	0.0897 	0.0934 	0.0873 	0.0875 	0.1207 	0.1068 	0.0995 
4161902,DP_ES,PPS,DE	0.0883 	0.0929 	0.0927 	0.0874 	0.0952 	0.0840 	0.0869 	0.0730 
4161902,DP_ES,PPS,DK	0.0370 	0.0382 	0.0418 	0.0526 	0.0466 	0.0358 	0.0607 	0.0322 
4161902,DP_ES,PPS,EE	0.0635 	0.0664 	0.0441 	0.0462 	0.0471 	0.0469 	0.0441 	0.0419 
4161902,DP_ES,PPS,EL	0.1111 	0.0999 	0.0739 	0.0678 	0.0607 	0.0586 	: 	: 
4161902,DP_ES,PPS,ES	0.1774 	0.1764 	0.1005 	0.1102 	0.1001 	0.1166 	0.1120 	: 
4161902,DP_ES,PPS,FI	0.0523 	0.0556 	0.0566 	0.0600 	0.0542 	0.0501 	0.0506 	0.0450 
4161902,DP_ES,PPS,FR	0.0674 	0.0566 	0.0540 	: 	: 	: 	: 	: 
4161902,DP_ES,PPS,HR	0.0993 	0.1062 	0.1098 	0.0863 	0.0694 	0.0703 	0.0918 	0.0697 
4161902,DP_ES,PPS,HU	0.0841 	0.1017 	0.1208 	: 	0.1285 	0.1341 	0.1135 	0.0935 
4161902,DP_ES,PPS,IE	0.1454 	0.1372 	0.1357 	0.1171 	: 	: 	: 	: 
4161902,DP_ES,PPS,IS	0.0277 	0.0270 	0.0270 	: 	: 	: 	: 	: 
4161902,DP_ES,PPS,IT	0.1055 	0.1078 	0.1137 	0.0970 	0.0930 	0.1040 	0.1101 	: 
4161902,DP_ES,PPS,LT	0.0820 	0.0785 	0.0815 	0.0807 	0.0782 	0.0605 	0.0589 	0.0540 
4161902,DP_ES,PPS,LU	0.0635 	0.0621 	0.0699 	0.0674 	0.0654 	0.0834 	0.0653 	0.0653 
4161902,DP_ES,PPS,LV	0.0242 	0.0247 	0.0377 	0.0631 	0.0751 	0.0723 	0.0689 	0.0538 
4161902,DP_ES,PPS,ME	0.0941 	0.0925 	0.0926 	0.0705 	: 	: 	: 	: 
4161902,DP_ES,PPS,MT	0.1442 	0.2098 	0.2125 	0.2145 	0.2206 	0.1933 	0.1446 	0.0310 
4161902,DP_ES,PPS,NL	0.0769 	0.0765 	0.0786 	0.0765 	0.0761 	0.0867 	0.0835 	0.0812 
4161902,DP_ES,PPS,NO	0.0398 	0.0435 	0.0356 	0.0429 	0.0491 	0.0406 	0.0523 	0.0338 
4161902,DP_ES,PPS,PL	0.0965 	0.1026 	0.1084 	0.1017 	0.0983 	0.0873 	0.0725 	0.0606 
4161902,DP_ES,PPS,PT	0.0931 	0.0958 	0.1016 	0.0799 	0.0773 	0.1140 	0.0923 	: 
4161902,DP_ES,PPS,RO	0.0798 	0.0789 	0.0613 	0.0697 	0.0721 	0.0653 	0.0638 	0.0689 
4161902,DP_ES,PPS,RS	0.0436 	0.0339 	: 	: 	: 	: 	: 	: 
4161902,DP_ES,PPS,SE	0.0388 	0.0445 	0.0464 	0.0523 	0.0550 	0.0497 	0.0576 	0.0442 
4161902,DP_ES,PPS,SI	0.0746 	0.0794 	0.0790 	0.0723 	0.0644 	0.0624 	0.0562 	: 
4161902,DP_ES,PPS,SK	0.0839 	0.0971 	0.1057 	0.0979 	0.1109 	0.1015 	0.0978 	0.0890 
4161902,DP_ES,PPS,TR	0.1333 	0.1383 	0.1386 	0.1184 	0.1437 	0.1408 	0.1399 	: 
4161902,DP_ES,PPS,UK	0.1397 	0.1350 	0.1294 	0.1197 	: 	0.1044 	0.1080 	: 
4161902,DP_NC,EUR,AT	0.0719 	0.0731 	0.0724 	0.0718 	0.0739 	0.0739 	0.0728 	: 
4161902,DP_NC,EUR,BA	: 	0.0413 	0.0409 	: 	: 	: 	: 	: 
4161902,DP_NC,EUR,BE	0.1034 	0.0984 	0.0961 	0.0899 	0.0774 	0.0740 	0.0706 	0.0605 
4161902,DP_NC,EUR,BG	0.0184 	0.0294 	0.0313 	0.0297 	0.0215 	0.0245 	0.0271 	0.0261 
4161902,DP_NC,EUR,CY	0.0377 	0.0374 	0.0374 	0.0364 	0.0355 	: 	: 	: 
4161902,DP_NC,EUR,CZ	0.1137 	0.1284 	0.1270 	0.1269 	0.1179 	0.0932 	0.0910 	0.0825 
4161902,DP_NC,EUR,DE	0.0727 	0.0728 	0.0684 	0.0689 	0.0670 	0.0658 	0.0635 	0.0727 
4161902,DP_NC,EUR,DK	0.1034 	0.0954 	0.0976 	0.0849 	0.0805 	0.0855 	0.0716 	0.0807 
4161902,DP_NC,EUR,EE	0.0533 	0.0542 	0.0313 	0.0456 	0.0409 	0.0382 	0.0368 	0.0376 
4161902,DP_NC,EUR,EL	0.0295 	0.0290 	0.0303 	0.0301 	0.0302 	0.0295 	: 	: 
4161902,DP_NC,EUR,ES	0.0579 	0.0422 	0.1068 	0.0841 	0.0770 	0.0471 	0.0442 	: 
4161902,DP_NC,EUR,FI	0.0775 	0.0756 	0.0749 	0.0713 	0.0683 	0.0660 	0.0572 	0.0551 
4161902,DP_NC,EUR,FR	0.0656 	0.0666 	0.0657 	: 	: 	: 	: 	: 
4161902,DP_NC,EUR,HR	0.0468 	0.0478 	0.0485 	0.0424 	0.0424 	0.0425 	0.0432 	0.0424 
4161902,DP_NC,EUR,HU	0.0464 	0.0477 	0.0568 	: 	0.0560 	0.0556 	0.0554 	0.0529 
4161902,DP_NC,EUR,IE	0.0918 	0.0934 	0.0842 	0.0749 	: 	: 	: 	: 
4161902,DP_NC,EUR,IS	0.0814 	0.0761 	0.0923 	: 	: 	: 	: 	: 
4161902,DP_NC,EUR,IT	0.0362 	0.0310 	0.0298 	0.0298 	0.0299 	0.0268 	0.0257 	: 
4161902,DP_NC,EUR,LI	0.0690 	: 	: 	: 	: 	: 	: 	: 
4161902,DP_NC,EUR,LT	0.0397 	0.0415 	0.0576 	0.0567 	0.0562 	0.0417 	0.0387 	0.0441 
4161902,DP_NC,EUR,LU	0.0820 	0.0818 	0.0831 	0.0813 	0.0830 	0.0808 	0.0876 	0.0882 
4161902,DP_NC,EUR,LV	0.0564 	0.0564 	0.0569 	0.0561 	0.0462 	0.0464 	0.0464 	0.0334 
4161902,DP_NC,EUR,ME	0.0497 	0.0505 	0.0467 	0.0403 	: 	: 	: 	: 
4161902,DP_NC,EUR,MT	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0219 
4161902,DP_NC,EUR,NL	0.0661 	0.0817 	0.0816 	0.0810 	0.0660 	0.0729 	0.0656 	0.0642 
4161902,DP_NC,EUR,NO	0.1292 	0.1361 	0.1496 	0.1461 	0.1401 	0.1205 	0.1166 	0.1225 
4161902,DP_NC,EUR,PL	0.0603 	0.0592 	0.0598 	0.0553 	0.0581 	0.0503 	0.0609 	0.0718 
4161902,DP_NC,EUR,PT	0.0668 	0.0596 	0.0506 	0.0528 	0.0551 	0.0616 	0.0531 	: 
4161902,DP_NC,EUR,RO	0.0530 	0.0525 	0.0484 	0.0494 	0.0493 	0.0490 	0.0549 	0.0593 
4161902,DP_NC,EUR,RS	0.0378 	0.0421 	: 	: 	: 	: 	: 	: 
