consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_ES,NAT,IE	0.2953 	0.3018 	0.2991 	0.2243 	: 	: 	: 	: 
4161901,DP_ES,NAT,IS	5.1318 	4.9303 	4.8659 	: 	: 	: 	: 	: 
4161901,DP_ES,NAT,IT	0.1314 	0.1305 	0.1247 	0.1061 	0.1221 	0.1320 	0.1252 	: 
4161901,DP_ES,NAT,LI	0.0879 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,NAT,LT	0.1737 	0.1662 	0.1696 	0.1681 	0.1594 	0.1284 	0.1312 	0.1073 
4161901,DP_ES,NAT,LU	0.0865 	0.0860 	0.1006 	0.1102 	0.0990 	0.1301 	0.0929 	0.0913 
4161901,DP_ES,NAT,LV	0.0133 	0.0091 	0.0160 	0.0283 	0.0348 	0.0348 	0.0348 	0.0251 
4161901,DP_ES,NAT,ME	0.0831 	0.0814 	0.0720 	0.0346 	: 	: 	: 	: 
4161901,DP_ES,NAT,MT	0.3284 	0.3846 	0.3946 	0.3892 	0.3738 	0.1940 	0.0987 	0.0000 
4161901,DP_ES,NAT,NL	0.1229 	0.1126 	0.1160 	0.1108 	0.1087 	0.1209 	0.1126 	0.1068 
4161901,DP_ES,NAT,NO	0.6868 	0.7220 	0.5898 	0.6820 	0.7522 	0.6503 	0.7365 	0.4722 
4161901,DP_ES,NAT,PL	0.2426 	0.2560 	0.2747 	0.2632 	0.2477 	0.2295 	0.1840 	0.1337 
4161901,DP_ES,NAT,PT	0.1016 	0.0827 	0.1138 	0.0764 	0.0795 	0.1511 	0.1238 	: 
4161901,DP_ES,NAT,RO	0.1868 	0.1774 	0.1285 	0.1490 	0.1438 	0.1317 	0.1358 	0.1185 
4161901,DP_ES,NAT,RS	4.5516 	2.0547 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,NAT,SE	0.4992 	0.5583 	0.5856 	0.6798 	0.6980 	0.6370 	0.7140 	0.4988 
4161901,DP_ES,NAT,SI	0.0601 	0.0643 	0.0672 	0.0617 	0.0580 	0.0594 	0.0481 	: 
4161901,DP_ES,NAT,SK	0.0696 	0.0793 	0.0859 	0.0770 	0.0834 	0.0739 	2.4800 	2.4300 
4161901,DP_ES,NAT,TR	0.2126 	0.2043 	0.1922 	0.1548 	0.1771 	0.1707 	0.1594 	: 
4161901,DP_ES,NAT,UK	0.1470 	0.1423 	0.1215 	0.1117 	: 	0.1030 	0.0910 	: 
4161901,DP_ES,NAT,XK	0.0726 	0.0325 	: 	: 	: 	: 	: 	: 
4161901,DP_ES,PPS,AT	0.0870 	0.0875 	0.0878 	0.0881 	0.0714 	0.0701 	0.0695 	: 
4161901,DP_ES,PPS,BA	: 	0.1261 	0.1051 	: 	: 	: 	: 	: 
